carta,"vel Velocity Alerts (Across Slope)",148.1600,7
carta,"dis Displacement (Downslope)",648.7650,145
carta,"dis Displacement (Across Slope)",476.8400,145
carta,"col  Downs",346.6700,21
carta,"col  Acros",137.5450,21
carta,"vel Velocity Alerts (Downslope)",123.6600,7
carta,"vel Velocity Alerts (Across Slope)",148.1600,7
carta,"dis Displacement (Downslope)",648.7650,145
carta,"dis Displacement (Across Slope)",476.8400,145
cudta,"col  Downs",237.2500,18
cudta,"col  Acros",113.5950,18
cudta,"vel Velocity Alerts (Downslope)",92.5000,7
cudta,"vel Velocity Alerts (Across Slope)",102.4600,7
cudta,"dis Displacement (Downslope)",464.3950,145
cudta,"dis Displacement (Across Slope)",403.4900,145
cudta,"col  Downs",237.2500,18
cudta,"col  Acros",113.5950,18
cudta,"vel Velocity Alerts (Downslope)",92.5000,7
cudta,"vel Velocity Alerts (Across Slope)",102.4600,7
cudta,"dis Displacement (Downslope)",464.3950,145
cudta,"dis Displacement (Across Slope)",403.4900,145
cudtb,"col  Downs",119.3850,18
cudtb,"col  Acros",76.1050,18
cudtb,"vel Velocity Alerts (Downslope)",56.3550,7
cudtb,"vel Velocity Alerts (Across Slope)",44.4600,7
cudtb,"dis Displacement (Downslope)",254.7400,145
cudtb,"dis Displacement (Across Slope)",222.1250,145
cudtb,"col  Downs",119.3850,18
cudtb,"col  Acros",76.1050,18
cudtb,"vel Velocity Alerts (Downslope)",56.3550,7
cudtb,"vel Velocity Alerts (Across Slope)",44.4600,7
cudtb,"dis Displacement (Downslope)",254.7400,145
cudtb,"dis Displacement (Across Slope)",222.1250,145
dadta,"col  Downs",154.1450,21
dadta,"col  Acros",100.0050,21
dadta,"vel Velocity Alerts (Downslope)",70.6900,7
dadta,"vel Velocity Alerts (Across Slope)",72.5400,7
dadta,"dis Displacement (Downslope)",400.1500,145
dadta,"dis Displacement (Across Slope)",275.7100,145
dadta,"col  Downs",154.1450,21
dadta,"col  Acros",100.0050,21
dadta,"vel Velocity Alerts (Downslope)",70.6900,7
dadta,"vel Velocity Alerts (Across Slope)",72.5400,7
dadta,"dis Displacement (Downslope)",400.1500,145
dadta,"dis Displacement (Across Slope)",275.7100,145
